name,category,time.z5,time.z6,time.z4,time.z2,time.z3,time.z1,depth,rowSpacing,spacing,frost,sow,germination,maturity
Amaranth,Vegetable,Sep-Nov,Sep-Nov,Aug-Mar,Aug-Mar,Aug-Apr,Mar-Aug,5,50-80,50,FT,D,5-20,50-60
Artichoke,Vegetable,Sep-Nov,Sep-Nov,Aug-Nov,Aug-Nov,Aug-Nov,Feb-Aug,6,150-250,150-200,H,D,15-25,290-400
Asparagus,Vegetable,Sep-Nov,Sep-Nov,Aug-Nov,Aug-Nov,Aug-Nov,Mar-Oct,10,100,20-40,FT,D,20-35,730-1095
"Bean,Broad",Vegetable,"Mar-May,Aug-Sep","Mar-May,Aug-Sep",Mar-Jul,Mar-Jul,Mar-Jun,Apr-Jun,40-50,60-80,15-25,H,D,10-20,90-150
"Bean,Bush",Vegetable,Oct-Jan,Oct-Jan,Sep-Feb,Sep-Feb,Aug-Apr,Feb-Oct,20-30,40-60,7-15,FT,D,7-15,50-80
"Bean,Climbing",Vegetable,Oct-Dec,Oct-Dec,Sep-Jan,Sep-Jan,Aug-Apr,Feb-Oct,20-30,100,10-25,FT,D,7-15,70-85
Beetroot,Vegetable,Sep-Apr,Sep-Apr,Jul-Apr,Jul-Apr,Feb-Oct,Mar-Jun,20-30,30-40,5-10,H,D,15-25,55-85
Broccoli,Vegetable,Nov-Mar,Nov-Mar,Sep-Apr,Sep-Apr,Feb-Jun,Mar-Jun,6,40-60,35-45,H,R/D,15-25,60-120
Brussels Sprouts,Vegetable,Oct-Feb,Oct-Feb,Dec-Apr,Dec-Apr,Feb-Jun,Feb-Apr,6,90,50-75,H,R/D,6-12,80-140
Burdock,Vegetable,Sep-Feb,Sep-Feb,Sep-Apr,Sep-Apr,Aug-May,Feb-Sep,15,60,60,H,D/R,10-20,120-140
Cabbage,Vegetable,Aug-Apr,Aug-Apr,Jun-Apr,Jun-Apr,Jan-Dec,Feb-Nov,6,50-70,40-50,H,R/D,6-12,60-120
"Cabbage,Chinese",Vegetable,Aug-Mar,Aug-Mar,Jul-Aug,Jul-Aug,Jan-Dec,Feb-Nov,6,40,30,H,D,6-12,60-80
Cape Gooseberry,Vegetable,Sep-Nov,Sep-Nov,Aug-Dec,Aug-Dec,Jul-Mar,Jan-Dec,4,100,50,FT,R,15-30,140-160
Capsicum,Vegetable,Sep-Nov,Sep-Nov,Aug-Dec,Aug-Dec,Aug-Mar,Jan-Dec,4,80-100,40-60,FT,R/D,10-20,70-110
Carrot,Vegetable,Aug-Mar,Aug-Mar,Sep-May,Sep-May,Feb-Nov,Feb-Sep,4,25-30,3-8,"HH",D,10-20,70-120
Cauliflower,Vegetable,Nov-Apr,Nov-Apr,Dec-Apr,Dec-Apr,Jan-May,Jan-Apr,6,75-90,45-70,H,R/D,6-12,100-160
Celeriac,Vegetable,Oct-Jan,Oct-Jan,Sep-Dec,Sep-Dec,Mar-Oct,Apr-Jul,4,40-70,15-25,H,R,,90-140
Celery,Vegetable,Sep-Dec,Sep-Dec,Sep-Feb,Sep-Feb,Mar-Oct,Apr-Sep,4,30-55,15-30,H,R,15-25,120-140
